E_keV,reaction,place_class,net_cph,sigma_cph,signif,found,origin
30.64,²⁷Al(n;γ); выход на 100 захватов: 34;55,обшивка; силовой набор | C,373.56200931850555,136.98583676419602,2.727011917016982,0,
57.608,¹²⁷I(n;n′) (1-й уровень 57;608 кэВ; 7/2⁺; ENSDF) и ¹²⁷I(n;γ) 58;11; выход на 100 захватов: 4;52 (захват),кристалл NaI/CsI — классический «йодный бугор» | B,-487.3012361633787,221.65581860673876,-2.1984590308813297,0,
58.11,¹²⁷I(n;n′) (1-й уровень 57;608 кэВ; 7/2⁺; ENSDF) и ¹²⁷I(n;γ) 58;11; выход на 100 захватов: 4;52 (захват),кристалл NaI/CsI — классический «йодный бугор» | B,251.54568670104686,221.57922146116425,1.135240412175267,0,
75.26,мюонный X-ray C (2p–1s),композит; пластик; люди | C,1115.5963446380545,216.30172781934587,5.157593311366403,1,gamma/primary/World 72.9%; gamma/eBrem/Pax 11.0%; gamma/eBrem/Skin 4.4%
78.08,³¹P(n;γ); выход на 100 захватов: 34;30,кости пассажиров | D,-200.26934790154382,236.12509358064798,-0.8481493638165242,0,
78.91,¹⁰⁷Ag(n;γ); выход на 100 захватов: 10;37,контакты; припой | D,791.665953467786,234.09063455282856,3.381877942191345,0,
79.51,¹⁵⁷Gd(n;γ); выход на 100 захватов: 1;58,кристалл GAGG | B,125.86211402919866,206.06698407421436,0.6107825307127794,0,
88.97,¹⁵⁵Gd(n;γ); выход на 100 захватов: 2;27,кристалл GAGG | B,-585.9360343831236,216.93300081508596,-2.700999996227298,0,
90.99,²³Na(n;γ); выход на 100 захватов: 44;34,люди; NaI | C,-456.03117831139025,211.46115221351084,-2.1565718976643935,0,
102.4,мюонный X-ray N,воздух; люди | D,-196.38666470239673,174.53544103799342,-1.125196484647761,0,
115.22,⁶⁴Zn(n;γ); выход на 100 захватов: 15;18,сплав 7075 | D,333.2548564698043,159.6841719122248,2.0869623612601242,0,
116.61,¹³³Cs(n;γ); выход на 100 захватов: 4;75,кристалл CsI | C,226.17236403849085,157.48852537560762,1.4361196379169427,0,
133.54,мюонный X-ray O,воздух; люди; вода | C,-438.05333636182274,140.9141150037771,-3.1086547742224475,0,
133.61,¹²⁷I(n;γ); выход на 100 захватов: 22;90,кристалл NaI/CsI | B,-438.0533363618274,140.9141150037771,-3.1086547742224804,0,
137.85,¹²⁷I(n;γ)¹²⁸I; изомерный уровень 4⁻; T½=845 нс (заселяется каскадом через уровень 167;4 кэВ; T½=175 нс; почти вся энергия каскада поглощается в кристалле — Yoon et al.; NIM A 848 (2017) 162; arXiv:1608.02409); выход на 100 захватов: ≥0;07 (прямое заселение по нашей базе эмиттера; с учётом каскада с 167;4 кэВ — больше),кристалл NaI/CsI | B,688.2536798899118,137.00844654420905,5.023439775064016,1,neutron/primary/World 65.0%; gamma/primary/World 20.0%; gamma/eBrem/Floor 2.1%
159.28,⁶³Cu(n;γ); выход на 100 захватов: 14;34,проводка; сплав 2024 | C,-106.60361533511428,119.90927028370201,-0.88903564405732,0,
170.82,²⁷Mg распад,активация Al | D,276.88978699562165,111.2209780532143,2.48954641329572,0,
176.4,¹³³Cs(n;γ); выход на 100 захватов: 8;15,кристалл CsI | B,2.024773914672437,108.86556802516948,0.01859884581876534,0,
181.93,¹⁵⁷Gd(n;γ); выход на 100 захватов: 2;84,кристалл GAGG | A (для GAGG),-164.2353508320145,117.10251122268366,-1.4024921337485445,0,
185.96,⁶⁵Cu(n;γ); выход на 100 захватов: 11;24,проводка | D,231.61342117246488,116.87158556675894,1.9817770080663752,0,
199.21,¹⁵⁵Gd(n;γ); выход на 100 захватов: 3;32,кристалл GAGG | A (для GAGG),299.7772619728642,94.9969851436979,3.1556502716312935,0,
205.62,¹³³Cs(n;γ); выход на 100 захватов: 5;15,CsI | C,34.36567179176478,90.2844631998425,0.38063771521460105,0,
218.22,¹³⁹La(n;γ); выход на 100 захватов: 8;63,LaBr₃ | B,140.07660077587553,83.90590177333432,1.6694487254815789,0,
