E_keV,reaction,place_class,net_cph,sigma_cph,signif,found,origin
30.64,²⁷Al(n;γ),обшивка; силовой набор | C,-298.92237553239175,145.67324725574156,-2.052005987122732,0,
57.608,¹²⁷I(n;n′) (1-й уровень 57;608 кэВ; 7/2⁺; ENSDF) и ¹²⁷I(n;γ) 58;11,кристалл NaI/CsI — классический «йодный бугор» | B,-99.57569578804078,232.72678916860303,-0.4278652068537817,0,
58.11,¹²⁷I(n;n′) (1-й уровень 57;608 кэВ; 7/2⁺; ENSDF) и ¹²⁷I(n;γ) 58;11,кристалл NaI/CsI — классический «йодный бугор» | B,448.5166339486982,233.20092645375613,1.9233055407163628,0,
75.26,мюонный X-ray C (2p–1s),композит; пластик; люди | C,471.07957585908,228.87901037375005,2.058203480912585,0,
78.08,³¹P(n;γ),кости пассажиров | D,-511.0731084992012,248.89769921128897,-2.0533460538956283,0,
78.91,¹⁰⁷Ag(n;γ),контакты; припой | D,946.703227697689,247.49606099422593,3.8251244237772966,0,
79.51,¹⁵⁷Gd(n;γ),кристалл GAGG | B,-52.809179221204204,217.88962531769067,-0.2423666530437444,0,
88.97,¹⁵⁵Gd(n;γ),кристалл GAGG | B,565.1005575151335,232.77153591165188,2.4277047247289576,0,
90.99,²³Na(n;γ),люди; NaI | C,-534.5698357910601,227.48316346944148,-2.349931430696279,0,
102.4,мюонный X-ray N,воздух; люди | D,202.21650343771284,188.59466802064523,1.0722281046438515,0,
115.22,⁶⁴Zn(n;γ),сплав 7075 | D,44.554123959197,172.0925355874821,0.2588963188153399,0,
116.61,¹³³Cs(n;γ),кристалл CsI | C,153.33796945306847,169.78165667864903,0.9031480340853074,0,
133.54,мюонный X-ray O,воздух; люди; вода | C,142.50418807891276,152.3000708210785,0.9356803795996005,0,
133.61,¹²⁷I(n;γ),кристалл NaI/CsI | B,142.50418807888263,152.3000708210785,0.9356803795994026,0,
159.28,⁶³Cu(n;γ),проводка; сплав 2024 | C,-40.370210442861776,131.32118705538906,-0.3074158203111148,0,
170.82,²⁷Mg распад,активация Al | D,214.6168683849669,121.99826626902401,1.7591796584363364,0,
176.4,¹³³Cs(n;γ),кристалл CsI | B,293.45594188757326,121.33983723635284,2.4184632893149725,0,
181.93,¹⁵⁷Gd(n;γ),кристалл GAGG | A (для GAGG),-12.97520627202914,129.93619525067191,-0.09985829003994978,0,
185.96,⁶⁵Cu(n;γ),проводка | D,90.62981418618335,128.8792424443635,0.7032149822366295,0,
199.21,¹⁵⁵Gd(n;γ),кристалл GAGG | A (для GAGG),-422.0864973032971,105.08935102458578,-4.016453552982257,0,
205.62,¹³³Cs(n;γ),CsI | C,-30.099067505811433,100.33675211234134,-0.29998048444015035,0,
218.22,¹³⁹La(n;γ),LaBr₃ | B,-80.0675791919781,93.53220543927358,-0.8560428872166659,0,
238.63,²¹²Pb (Th-232),торированные сплавы; если есть | D (нет Th → нет линии),-149.6733624472534,84.05815377708588,-1.7805930266345456,0,
245.2,⁷⁹Br(n;γ),LaBr₃ | B,151.74926800248778,82.34993040052986,1.8427370522891346,0,
250.23,мюонный X-ray Na,NaI; люди | D,-60.32666666303936,76.08623876710713,-0.7928722412957441,0,
278.25,⁶³Cu(n;γ),проводка | C,15.619979645130513,67.58180117634477,0.23112701013061895,0,
287.74,⁸¹Br(n;γ),LaBr₃ | B,-144.65178916742835,64.58493644440917,-2.239714043721881,0,
288.25,¹³⁹La(n;γ),LaBr₃ | B,-37.12218978060869,66.32055464387658,-0.5597388317987508,0,
295.22,²¹⁴Pb (радон; T½=27;06 мин),на эшелоне практически отсутствует | D — диагностический признак,84.443395126073,63.924608198271805,1.3209841640977928,0,
320.08,⁵¹Ti распад,активация Ti | D,-179.24436323613008,67.30165868289382,-2.663297855416585,0,
339.42,⁵⁸Ni(n;γ),сталь; жаропрочные сплавы | D,109.93155704193322,52.778932632220496,2.08286813619308,0,
341.71,⁴⁸Ti(n;γ),титановые узлы | B,144.70107107220176,52.55000462740032,2.7535881699380966,0,
346.83,мюонный X-ray Al (2p–1s),обшивка — главная мишень мюонов | B,-44.74853161623159,52.04566024545983,-0.8597937158484833,0,
351.93,²¹⁴Pb (радон; T½=27;06 мин),на эшелоне практически отсутствует | D — диагностический признак,-394.514268576815,57.40672418013262,-6.872265822709127,0,
352.35,⁵⁶Fe(n;γ),сталь; крепёж | B,-122.23344454066319,51.77692879824557,-2.3607704701250065,0,
400.18,мюонный X-ray Si,электроника; стекло | D,111.93240658915167,41.39671087986365,2.7038961359511844,0,
412.88,мюонный X-ray Al (3p–1s),обшивка | C,-65.24585774219268,39.40308438396002,-1.6558566102696415,0,
464.98,⁵⁸Ni(n;γ),сталь | C,220.40303451298394,41.633247492131744,5.293918869880084,0,
465.14,⁶⁵Cu(n;γ),проводка | D,178.1209417317541,37.104483614738164,4.800523397150936,0,
472.2,²⁴Na распад,активация Al/Na | D,59.663392366146624,35.85323196219263,1.6641008104670145,0,
477.6,¹⁰B(n;αγ)⁷Li*,борсиликатное стекло; композиты | B; если бор есть,-14.39892484978757,36.227531426474435,-0.3974580735375497,0,
477.6,⁷Be распад,атмосферный аэрозоль | D,-14.39892484978757,36.227531426474435,-0.3974580735375497,0,
508.19,⁶⁹Ga(n;γ),GAGG | B,3037.5959841167746,93.23857333725675,32.57874799445259,0,
